               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.060404,            0.031537,           0.0029959,             0.66113,                 0.3,              0.2193,            0.065143,            0.065602,            0.019127,           0.0027424,            0.006865,            0.006865,            0.006865
                  97,            0.055163,            0.026441,           0.0035454,             0.96417,                 0.3,               0.415,             0.11398,            0.070666,            0.018158,           0.0028538,            0.006832,            0.006832,            0.006832
                  98,             0.06004,            0.028481,           0.0022722,             0.96417,                 0.3,               0.415,             0.11398,            0.070666,            0.018158,           0.0028538,            0.006799,            0.006799,            0.006799
                  99,            0.061084,            0.030881,           0.0022971,             0.99011,                 0.3,             0.46959,             0.17045,            0.061183,            0.018982,            0.002739,            0.006766,            0.006766,            0.006766
                 100,            0.053836,            0.024519,           0.0022501,             0.99011,                 0.3,             0.46959,             0.17045,            0.061183,            0.018982,            0.002739,            0.006733,            0.006733,            0.006733
                 101,            0.055857,            0.021255,             0.00171,             0.87239,                 0.2,             0.44588,             0.22424,            0.067236,            0.018124,           0.0027275,              0.0067,              0.0067,              0.0067
                 102,            0.055488,            0.024492,           0.0023508,             0.87239,                 0.2,             0.44588,             0.22424,            0.067236,            0.018124,           0.0027275,            0.006667,            0.006667,            0.006667
                 103,             0.05801,            0.027547,           0.0020541,             0.86922,                 0.3,             0.46724,             0.17679,            0.054927,            0.019501,           0.0025005,            0.006634,            0.006634,            0.006634
                 104,            0.056532,            0.026149,           0.0024098,             0.86922,                 0.3,             0.46724,             0.17679,            0.054927,            0.019501,           0.0025005,            0.006601,            0.006601,            0.006601
                 105,            0.054287,            0.030936,           0.0026058,                   1,             0.26593,             0.43432,             0.17664,            0.053777,            0.019482,           0.0024891,            0.006568,            0.006568,            0.006568
                 106,            0.054045,            0.020657,           0.0029246,                   1,             0.26593,             0.43432,             0.17664,            0.053777,            0.019482,           0.0024891,            0.006535,            0.006535,            0.006535
                 107,            0.056961,             0.02509,           0.0024194,                   1,             0.25871,             0.46668,             0.26471,            0.061856,             0.01791,           0.0023808,            0.006502,            0.006502,            0.006502
                 108,            0.057951,            0.023146,           0.0018322,                   1,             0.25871,             0.46668,             0.26471,            0.061856,             0.01791,           0.0023808,            0.006469,            0.006469,            0.006469
